761459898307796992,,None,Westerbüdelstedt,RT @UprightBassist: Die Stimme kenne ich doch! @schaarsen bei Deutschland heute - Wacken Open Air 2016 - die Heavy Metal Party im Norden ht…
761459314150244352,,None,"Karlsruhe, .eu","RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
761458948666957824,,None,Magdeburg,@Erzbistum_Koeln In Wacken läuft die bessere Musik. :-P
761458897039265792,,None,,RT @Erzbistum_Koeln: #Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761458265133813760,,None,Germany,"Immer, wenn ich #Wacken-Tweets &amp; -Fotos sehe, bin ich froh, dass die Teilnahme freiwillig ist. Keine 10 Pferde brächten mich da hin. /o\"
761458219738865664,,None,,RT @Erzbistum_Koeln: #Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761457607748022273,,None,"Bonn, Germany",RT @Erzbistum_Koeln: #Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761456950878019584,,None,Köln,#Weltjugendtag vs. #Wacken - Wo ist der Unterschied? https://t.co/6TyOkTHZak
761456480398798848,,None,Ortenaukreis,RT @heuteshow: #Wacken geht los! Die #AfD jubelt: endlich eine größere Schlammschlacht als die Fraktionsbildung in BaWü.
761455860216397824,,None,"Hamburg, Deutschland","Der Arzt meinte ich seh nach WACKEN aus.
Find ich gut, den mag ich! 😂👍"
761455826951401472,,None,Burgwald,"Ist ja gerade Wacken und außerdem: Cello! &lt;3
https://t.co/wGSFdCV6Rz"
761452900082155520,,None,"Gütersloh, Deutschland","Tag 2 in Wacken: Über Nacht gab es erneute Regenschauer, sodass der Boden wieder leicht aufgeweicht ist. Aber die... https://t.co/rfTwRNftso"
761451722753572866,,None,,RT @heuteshow: #Wacken geht los! Die #AfD jubelt: endlich eine größere Schlammschlacht als die Fraktionsbildung in BaWü.
761450696197693440,,None,Aachen,"Morgens auf Wacken, die Sonne scheint, fast alle schlafen, keine Schlange an den Duschen, ein paar fleißige Helfer werkeln, Vögel ziehen ..."
761449411859845120,,None,Bewohner des Raucherbalkons,RT @UprightBassist: Die Stimme kenne ich doch! @schaarsen bei Deutschland heute - Wacken Open Air 2016 - die Heavy Metal Party im Norden ht…
761449357224906752,,None,"Bad Salzdetfurth, Germany",Die Stimme kenne ich doch! @schaarsen bei Deutschland heute - Wacken Open Air 2016 - die Heavy Metal Party im Norden https://t.co/I4SuiGopZo
761446470205800448,,None,221B Baker Street,"RT @MickyBeisenherz: Festivalsommer #2016 : Sollte in #Wacken der Blitz einschlagen, läge der bundesweite IT- Support auf Jahre brach."
