name	lat	lon	einwohner	typ
ennigerloh	51.84053	8.03056000000004	20671	Stadt
oelde, westfalen	51.82987	8.14508999999998	29317	Stadt
sassenberg, westfalen	51.9934186491873	8.04419332275393	13965	Stadt
sendenhorst	51.84416	7.83204999999998	13222	Stadt
telgte	51.98287	7.78378999999995	19489	Stadt
warendorf	51.95397	7.99095	38781	Stadt
bielefeld	52.02126	8.54576999999995	328012	Stadt
borgholzhausen	52.10125	8.30070000000001	8818	Stadt
gütersloh	51.90351	8.38571999999999	96168	Stadt
halle (westfalen)	52.0455500892765	8.32602495239257	21224	Stadt
harsewinkel	51.96348	8.22735999999998	24206	Stadt
rheda-wiedenbrück	51.85092	8.29646000000002	46165	Stadt
rietberg	51.81661	8.43436999999994	28705	Stadt
schloß holte-stukenbrock, stadt gütersloh	51.90306	8.61817999999994	25944	Stadt
versmold	52.04137	8.14765	20992	Stadt
werther (westfalen)	52.0747114443781	8.41266206878663	11791	Stadt
herford	52.11783	8.679579	249020	Kreis
bünde	52.19851	8.58329000000003	44733	Stadt
enger, westfalen	52.1390423112082	8.55903106872552	19980	Stadt
herford	52.11783	8.67957999999999	64088	Stadt
löhne	52.19456	8.72212999999999	41656	Stadt
spenge	52.13709	8.48680999999999	15707	Stadt
vlotho	52.16162	8.85589000000004	20138	Stadt
bad driburg	51.73294	9.02169000000004	19643	Stadt
beverungen	51.6685	9.37233000000003	15404	Stadt
borgentreich	51.57062	9.23831999999993	9796	Stadt
brakel, westfalen	51.71747	9.18249000000003	17806	Stadt
höxter	51.7776209874954	9.37708581741344	32697	Stadt
marienmünster	51.8163773142675	9.16658779327395	5515	Stadt
nieheim	51.80575	9.11682999999994	7022	Stadt
steinheim, westfalen	51.8698	9.08692999999994	13907	Stadt
warburg, westfalen	51.491424	9.146886	24380	Stadt
willebadessen	51.62488	9.02957000000004	9006	Stadt
bad salzuflen	52.07684	8.75292999999999	54772	Stadt
barntrup	51.99051	9.11617000000001	9646	Stadt
blomberg, lippe	51.9433	9.0907	17450	Stadt
detmold	51.93842	8.86860000000001	73648	Stadt
horn-bad meinberg	51.87565	8.94798000000003	18678	Stadt
lage, lippe	51.99481	8.79953	36134	Stadt
lemgo	52.02703	8.90178000000003	42192	Stadt
lügde	51.96102	9.24870999999996	11515	Stadt
oerlinghausen	51.95201	8.66334000000006	17466	Stadt
schieder-schwalenberg	51.89829	9.16908000000001	9460	Stadt
bad oeynhausen	52.20921	8.80086000000006	49493	Stadt
espelkamp	52.38171	8.62179	26350	Stadt
lübbecke, westfalen	52.3097	8.62224	26263	Stadt
minden, westfalen	52.29666	8.89322000000004	83094	Stadt
petershagen (weser)	52.374825016683	8.96463915344225	26990	Stadt
porta westfalica	52.2411534918421	8.92470156616207	36189	Stadt
preußisch oldendorf	52.30552	8.48951999999997	13536	Stadt
rahden, westfalen	52.4357332614461	8.61632667724609	15974	Stadt
bad lippspringe	51.78336	8.81636000000003	14922	Stadt
